DeliverableID,Package,CSVExists,Readable,SchemaValid,SchemaVersion,RowCount,Error
DEL-01-01,PKG-01_Build_And_Packaging,Y,Y,Y,v3.1,11,
DEL-01-02,PKG-01_Build_And_Packaging,Y,Y,Y,v3.1,8,
DEL-01-03,PKG-01_Build_And_Packaging,Y,Y,Y,v3.1,17,
DEL-02-01,PKG-02_Desktop_UI_Workflow,Y,Y,Y,v3.1,6,
DEL-02-02,PKG-02_Desktop_UI_Workflow,Y,Y,Y,v3.1,10,
DEL-02-03,PKG-02_Desktop_UI_Workflow,Y,Y,Y,v3.1,11,
DEL-02-04,PKG-02_Desktop_UI_Workflow,Y,Y,Y,v3.1,9,
DEL-02-05,PKG-02_Desktop_UI_Workflow,Y,Y,Y,v3.1,11,
DEL-02-06,PKG-02_Desktop_UI_Workflow,Y,Y,Y,v3.1,5,
DEL-03-01,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,16,
DEL-03-02,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,14,
DEL-03-03,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,8,
DEL-03-04,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,15,
DEL-03-05,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,13,
DEL-03-06,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,14,
DEL-03-07,PKG-03_Harness_Runtime_Core,Y,Y,Y,v3.1,18,
DEL-04-01,PKG-04_Attachments_Multimodal,Y,Y,Y,v3.1,10,
DEL-04-02,PKG-04_Attachments_Multimodal,Y,Y,Y,v3.1,8,
DEL-05-01,PKG-05_Filesystem_Execution_Model,Y,Y,Y,v3.1,11,
DEL-05-02,PKG-05_Filesystem_Execution_Model,Y,Y,Y,v3.1,15,
DEL-05-03,PKG-05_Filesystem_Execution_Model,Y,Y,Y,v3.1,16,
DEL-05-04,PKG-05_Filesystem_Execution_Model,Y,Y,Y,v3.1,12,
DEL-06-01,PKG-06_Agent_Suite_Governance,Y,Y,Y,v3.1,10,
DEL-06-02,PKG-06_Agent_Suite_Governance,Y,Y,Y,v3.1,17,
DEL-06-03,PKG-06_Agent_Suite_Governance,Y,Y,Y,v3.1,15,
DEL-06-04,PKG-06_Agent_Suite_Governance,Y,Y,Y,v3.1,9,
DEL-06-05,PKG-06_Agent_Suite_Governance,Y,Y,Y,v3.1,17,
DEL-07-01,PKG-07_Validation_Example_Assets,Y,Y,Y,v3.1,15,
DEL-07-02,PKG-07_Validation_Example_Assets,Y,Y,Y,v3.1,11,
DEL-07-03,PKG-07_Validation_Example_Assets,Y,Y,Y,v3.1,17,
DEL-08-01,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,12,
DEL-08-02,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,9,
DEL-08-03,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,9,
DEL-08-04,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,13,
DEL-08-05,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,15,
DEL-08-06,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,12,
DEL-08-07,PKG-08_Optional_Integrity_Hardening,Y,Y,Y,v3.1,15,
