CycleID,Length,Path
CYC-001,2,DEL-01-01 -> DEL-05-01 -> DEL-01-01
CYC-002,3,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-01
CYC-003,3,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-01
CYC-004,12,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-03 -> DEL-02-03 -> DEL-02-04 -> DEL-02-02 -> DEL-01-01
CYC-005,14,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-03 -> DEL-02-03 -> DEL-03-04 -> DEL-06-04 -> DEL-06-05 -> DEL-03-06 -> DEL-01-01
CYC-006,13,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-04 -> DEL-03-03 -> DEL-02-03 -> DEL-02-04 -> DEL-02-02 -> DEL-01-01
CYC-007,13,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-04 -> DEL-03-03 -> DEL-02-03 -> DEL-02-04 -> DEL-02-02 -> DEL-01-01
CYC-008,12,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-04 -> DEL-06-04 -> DEL-06-05 -> DEL-03-06 -> DEL-01-01
CYC-009,9,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-06 -> DEL-01-01
CYC-010,14,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-03 -> DEL-02-03 -> DEL-03-02 -> DEL-03-04 -> DEL-06-04 -> DEL-06-05 -> DEL-03-06 -> DEL-01-01
