SCCID,Size,Members,IsCycle
SCC-1,1,DEL-02-03,NO
SCC-2,1,DEL-03-02,NO
SCC-3,1,DEL-03-01,NO
SCC-4,1,DEL-02-04,NO
SCC-5,1,DEL-03-03,NO
