SCCID,Size,Members,IsTrivial,RepresentativeCycle
SCC-1,1,DEL-08-01,Yes,(none)
SCC-2,1,DEL-06-02,Yes,(none)
SCC-3,1,DEL-08-07,Yes,(none)
