CycleID,Length,Path
CYC-001,2,DEL-01-01 -> DEL-05-01 -> DEL-01-01
CYC-002,3,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-01
CYC-003,3,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-01
CYC-004,12,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-03 -> DEL-02-03 -> DEL-02-04 -> DEL-02-02 -> DEL-01-01
CYC-005,14,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-03 -> DEL-02-03 -> DEL-03-04 -> DEL-06-04 -> DEL-06-05 -> DEL-03-06 -> DEL-01-01
CYC-006,13,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-04 -> DEL-03-03 -> DEL-02-03 -> DEL-02-04 -> DEL-02-02 -> DEL-01-01
CYC-007,13,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-04 -> DEL-03-03 -> DEL-02-03 -> DEL-02-04 -> DEL-02-02 -> DEL-01-01
CYC-008,12,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-04 -> DEL-06-04 -> DEL-06-05 -> DEL-03-06 -> DEL-01-01
CYC-009,9,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-02 -> DEL-03-06 -> DEL-01-01
CYC-010,14,DEL-01-01 -> DEL-05-01 -> DEL-01-02 -> DEL-01-03 -> DEL-03-07 -> DEL-03-01 -> DEL-03-05 -> DEL-03-03 -> DEL-02-03 -> DEL-03-02 -> DEL-03-04 -> DEL-06-04 -> DEL-06-05 -> DEL-03-06 -> DEL-01-01
CYC-011,3,DEL-05-03 -> DEL-06-02 -> DEL-05-04 -> DEL-05-03
CYC-012,3,DEL-05-03 -> DEL-06-02 -> DEL-05-04 -> DEL-05-03
CYC-013,3,DEL-05-04 -> DEL-05-03 -> DEL-06-02 -> DEL-05-04
CYC-014,3,DEL-05-04 -> DEL-05-03 -> DEL-06-02 -> DEL-05-04
CYC-015,3,DEL-06-02 -> DEL-05-04 -> DEL-05-03 -> DEL-06-02
CYC-016,3,DEL-06-02 -> DEL-05-04 -> DEL-05-03 -> DEL-06-02
CYC-017,2,DEL-06-02 -> DEL-06-03 -> DEL-06-02
CYC-018,2,DEL-06-03 -> DEL-06-02 -> DEL-06-03
CYC-019,2,DEL-07-01 -> DEL-07-02 -> DEL-07-01
CYC-020,2,DEL-07-01 -> DEL-07-02 -> DEL-07-01
CYC-021,2,DEL-07-02 -> DEL-07-01 -> DEL-07-02
CYC-022,2,DEL-07-02 -> DEL-07-01 -> DEL-07-02
