SCC_ID,Size,Members
SCC-001,21,DEL-01-01 | DEL-01-02 | DEL-01-03 | DEL-02-01 | DEL-02-02 | DEL-02-03 | DEL-02-04 | DEL-02-05 | DEL-03-01 | DEL-03-02 | DEL-03-03 | DEL-03-04 | DEL-03-05 | DEL-03-06 | DEL-03-07 | DEL-04-01 | DEL-05-01 | DEL-05-02 | DEL-06-04 | DEL-06-05 | DEL-07-03
SCC-002,4,DEL-05-03 | DEL-05-04 | DEL-06-02 | DEL-06-03
SCC-003,2,DEL-07-01 | DEL-07-02
