ID,Severity,Check,FromDeliverableID,TargetDeliverableID,DependencyID,Evidence,FixSuggestion
ISS-001,BLOCKER,circular_dependencies,DEL-01-01 | DEL-01-02 | DEL-01-03 | DEL-02-01 | DEL-02-02 | DEL-02-03 | DEL-02-04 | DEL-02-05 | DEL-03-01 | DEL-03-02 | DEL-03-03 | DEL-03-04 | DEL-03-05 | DEL-03-06 | DEL-03-07 | DEL-04-01 | DEL-05-01 | DEL-05-02 | DEL-06-04 | DEL-06-05 | DEL-07-03,,,SCC-001: DEL-01-01 | DEL-01-02 | DEL-01-03 | DEL-02-01 | DEL-02-02 | DEL-02-03 | DEL-02-04 | DEL-02-05 | DEL-03-01 | DEL-03-02 | DEL-03-03 | DEL-03-04 | DEL-03-05 | DEL-03-06 | DEL-03-07 | DEL-04-01 | DEL-05-01 | DEL-05-02 | DEL-06-04 | DEL-06-05 | DEL-07-03,Review cycle members and reclassify hard prerequisites to interfaces or break cycle
ISS-002,BLOCKER,circular_dependencies,DEL-05-03 | DEL-05-04 | DEL-06-02 | DEL-06-03 | DEL-08-05,,,SCC-002: DEL-05-03 | DEL-05-04 | DEL-06-02 | DEL-06-03 | DEL-08-05,Review cycle members and reclassify hard prerequisites to interfaces or break cycle
ISS-003,BLOCKER,circular_dependencies,DEL-07-01 | DEL-07-02,,,SCC-003: DEL-07-01 | DEL-07-02,Review cycle members and reclassify hard prerequisites to interfaces or break cycle
