NodeA,NodeB
DEL-01-01,DEL-05-01
DEL-01-02,DEL-05-01
DEL-01-03,DEL-03-07
DEL-02-03,DEL-02-04
DEL-02-03,DEL-03-03
DEL-03-01,DEL-03-07
DEL-03-01,DEL-05-01
DEL-03-02,DEL-03-03
DEL-03-02,DEL-03-04
DEL-03-02,DEL-03-05
DEL-03-02,DEL-03-07
DEL-03-02,DEL-04-01
DEL-06-02,DEL-06-03
DEL-07-01,DEL-07-02
